crash> ps
   PID    PPID  CPU   TASK    ST  %MEM     VSZ    RSS  COMM
>     0      0   0  c0660bc0  RU   0.0       0      0  [swapper]
      1      0   0  d1957aa0  IN   0.2    2032    672  init
      2      1   0  d1957550  IN   0.0       0      0  [migration/0]
      3      1   0  d1957000  IN   0.0       0      0  [ksoftirqd/0]
      4      1   0  d195eaa0  IN   0.0       0      0  [watchdog/0]
      5      1   0  d195e550  IN   0.0       0      0  [events/0]
      6      1   0  d195e000  IN   0.0       0      0  [khelper]
      7      1   0  d1ad2aa0  IN   0.0       0      0  [kthread]
     10      7   0  d1aafaa0  IN   0.0       0      0  [kblockd/0]
     11      7   0  d1aaf550  IN   0.0       0      0  [kacpid]
     72      7   0  c13fb000  IN   0.0       0      0  [cqueue/0]
     75      7   0  d1970000  IN   0.0       0      0  [khubd]
     77      7   0  d1977550  IN   0.0       0      0  [kseriod]
    140      7   0  c13fbaa0  IN   0.0       0      0  [pdflush]
    141      7   0  d1a86000  IN   0.0       0      0  [pdflush]
    142      7   0  d19b1000  IN   0.0       0      0  [kswapd0]
    143      7   0  d19bcaa0  IN   0.0       0      0  [aio/0]
    294      7   0  d1417aa0  IN   0.0       0      0  [kpsmoused]
    324      7   0  d1a3d000  IN   0.0       0      0  [scsi_eh_0]
    325      7   0  d1404aa0  IN   0.0       0      0  [kjournald]
    353      7   0  d199b550  IN   0.0       0      0  [kauditd]
    387      1   0  d1993550  IN   0.2    2208    600  udevd
    702      7   0  d1aa0000  IN   0.0       0      0  [kgameportd]
   1224      7   0  d0e4baa0  IN   0.0       0      0  [kmirrord]
   1249      1   0  d09f7550  IN   0.0       0      0  [vmhgfs]
   1565      1   0  d19f9550  IN   0.2    2280    704  dhclient
   1637      1   0  d0b3c550  IN   0.2    1688    616  syslogd
   1640      1   0  d09f7aa0  IN   0.1    1644    404  klogd
   1705      1   0  d1993aa0  IN   0.0       0      0  [vmmemctl]
   1753      1   0  d0809000  IN   0.3    2268    856  vmware-guestd
   1791      1   0  d0b3e550  IN   0.3    2704    948  dbus-daemon
   1833      1   0  d0e04550  IN   0.4    9328   1108  automount
   1834      1   0  d09d3aa0  IN   0.4    9328   1108  automount
   1835      1   0  d0876000  IN   0.4    9328   1108  automount
   1838      1   0  d09de000  IN   0.4    9328   1108  automount
   1841      1   0  d09de550  IN   0.4    9328   1108  automount
   1852      1   0  d1410550  IN   0.2    1636    528  acpid
   1872      1   0  d09f7000  IN   0.6    8564   1652  sendmail
   1880      1   0  d0bf1000  IN   0.5    7556   1436  sendmail
   1892      1   0  d0d1d550  IN   0.2    1864    464  gpm
   1903      1   0  d0bbeaa0  IN   0.4    5220   1104  crond
   1934      1   0  d0b3caa0  IN   0.6    3772   1692  xfs
   1945      1   0  d0b3e000  IN   0.1    2200    420  atd
   1961      1   0  d0b3c000  IN   1.3    5492   3680  hald
   1962   1961   0  d0809aa0  IN   0.4    3096   1080  hald-runner
   1968   1962   0  d19b1aa0  IN   0.3    1964    816  hald-addon-acpi
   1973   1962   0  d19b1550  IN   0.3    1964    812  hald-addon-keyb
   1985   1962   0  d19f9000  IN   0.2    1920    656  hald-addon-stor
   1999      1   0  d19f9aa0  IN   0.2    1628    464  mingetty
   2007      1   0  d1410000  IN   0.2    1624    464  mingetty
   2010      1   0  d0809550  IN   0.2    1624    460  mingetty
   2013      1   0  d1977aa0  IN   0.2    1624    464  mingetty
   2014      1   0  c13fb550  IN   0.2    1628    468  mingetty
   2015      1   0  d19bc000  IN   0.2    1624    468  mingetty
   2016      1   0  d1993000  IN   1.2   15324   3620  gdm-binary
   2095   2016   0  d1970550  IN   1.0   15640   2764  gdm-binary
   2105   2095   0  d09deaa0  IN   8.4   49244  24536  Xorg
   2152   2095   0  d0876550  IN   2.4   22380   6872  gnome-session
   2208   2152   0  d1404550  IN   0.2    4300    496  ssh-agent
   2211      1   0  d0876aa0  IN   0.3    2704    940  dbus-daemon
   2212      1   0  d1417000  IN   0.2    2744    632  dbus-launch
   2218      1   0  d1aaf000  IN   1.1    6756   3184  gconfd-2
   2221      1   0  d1404000  IN   0.3    2536    740  gnome-keyring-d
   2223      1   0  d1970aa0  IN   2.8   33332   8020  gnome-settings-
   2225      1   0  d1a3d550  ??   2.8   33332   8020  gnome-settings-
   2233   2223   0  d19bc550  DE   0.0       0      0  xrdb
   2235      1   0  d1aa0aa0  IN   3.1   17676   8908  metacity
   2242      1   0  d0e04000  IN   4.3   47472  12624  gnome-panel
   2244      1   0  d0e04aa0  IN   5.4   85192  15756  nautilus
   2248      1   0  d0e4b000  IN   1.0   38388   2808  bonobo-activati
   2249      1   0  d1977000  IN   1.0   38388   2808  bonobo-activati
   2251      1   0  d0bbe550  IN   1.2   10968   3396  gnome-vfs-daemo
   2255      1   0  d0bbe000  IN   2.8   44228   8088  eggcups
   2256      1   0  d0d1d000  IN   1.6   22120   4676  gnome-volume-ma
   2262      1   0  d09d3000  IN   1.7   14092   4928  bt-applet
   2266      1   0  d1417550  IN   4.5   24508  13056  puplet
   2268      1   0  d0bf1550  IN   3.3   44784   9464  nm-applet
   2269   1753   0  d1a86550  IN   0.9    7832   2560  vmware-user
   2271      1   0  d1a86aa0  IN   1.6   14900   4548  pam-panel-icon
   2281      1   0  c8249aa0  IN   0.4    2524   1184  gam_server
   2290      1   0  d1410aa0  IN   3.7   46400  10848  wnck-applet
   2294      1   0  c82e3550  IN   2.9   75416   8488  trashapplet
   2298   2271   0  d199b000  IN   0.2    1808    624  pam_timestamp_c
   2300      1   0  c79b2000  IN   0.3    2440    884  mapping-daemon
   2315      1   0  c82a6550  IN   2.6   22548   7588  notification-ar
   2317      1   0  c82e3000  IN   3.9   47396  11312  mixer_applet2
   2319      1   0  d1aa0550  IN   3.5   27812  10184  clock-applet
   2422      1   0  c82a6aa0  IN   0.7   15900   2080  gnome-screensav
   2582      1   0  c79b2aa0  IN   5.1   41172  14800  gnome-terminal
   2584   2582   0  d0e4b550  IN   0.2    2440    716  gnome-pty-helpe
   2585   2582   0  c82a6000  IN   0.5    4488   1468  bash
   2586      1   0  d0d1daa0  ??   5.1   41172  14800  gnome-terminal
   2921   2582   0  cd4c9aa0  IN   0.5    4488   1448  bash
   3020      1   0  d1ad2000  IN   0.4    4436   1156  firefox
   3043   3020   0  d0b3eaa0  IN   0.4    4436   1172  run-mozilla.sh
   3048   3043   0  d1ad2550  IN  14.3  118552  41552  firefox-bin
   3049   3043   0  c82e3aa0  IN  14.3  118552  41552  firefox-bin
   3050   3043   0  d1a3daa0  IN  14.3  118552  41552  firefox-bin
