MODULE     SIZE       NAME
0xd2a28a80 0x00005cc5 autofs4
0xd2a3fe00 0x00005020 vmblock
0xd2a39580 0x000038d0 vmmemctl
0xd2ab7b00 0x0000d680 vmhgfs
0xd2a5e180 0x00007411 dm_mirror
0xd2a55680 0x0000dd59 dm_mod
0xd2a34900 0x00004b45 video
0xd2a2e600 0x00004865 sbs
0xd2a07100 0x00002341 i2c_ec
0xd293e780 0x000029d1 button
0xd2a12300 0x00003545 battery
0xd2a0d900 0x00004b59 asus_acpi
0xd29f3180 0x000023c5 ac
0xd2aa8b00 0x0003d201 ipv6
0xd29e5880 0x00003de9 lp
0xd2a20000 0x0000df25 floppy
0xd29ffa00 0x00008c5d sg
0xd29e9d00 0x00002f4d i2c_piix4
0xd29c9a80 0x00005cc1 i2c_core
0xd2975700 0x000089c5 pcnet32
0xd29c2980 0x00006de1 snd_ens1371
0xd29ba680 0x000048c9 gameport
0xd29b4600 0x000068c1 snd_rawmidi
0xd29e0180 0x000153e1 snd_ac97_codec
0xd296b680 0x000018c1 snd_ac97_bus
0xd2968280 0x000024c1 mii
0xd2941c80 0x00001ec5 snd_seq_dummy
0xd29acc00 0x00007fc1 snd_seq_oss
0xd2964900 0x00002b41 snd_seq_midi_event
0xd29a2c00 0x0000c2b1 snd_seq
0xd28e3c00 0x00002e4d snd_seq_device
0xd2995480 0x0000a761 snd_pcm_oss
0xd2825880 0x00004ac1 snd_mixer_oss
0xd2989580 0x000117c5 snd_pcm
0xd285c980 0x00001bc1 pcspkr
0xd2948200 0x00005400 vmxnet
0xd295ff00 0x00006145 snd_timer
0xd2957e80 0x0000cac5 snd
0xd287b100 0x000033a1 soundcore
0xd2876300 0x00003549 snd_page_alloc
0xd2939f00 0x000071e5 parport_pc
0xd2931000 0x00009289 parport
0xd2926600 0x00009c61 ide_cd
0xd291b900 0x00008f61 cdrom
0xd283f780 0x000029c5 serio_raw
0xd2871c00 0x00004e49 mptspi
0xd2859300 0x00006541 mptscsih
0xd2911a80 0x0000ce61 mptbase
0xd2851400 0x00006641 scsi_transport_spi
0xd283b780 0x000059c1 sd_mod
0xd28dfa00 0x0001fe4d scsi_mod
0xd2902e80 0x0001e0c9 ext3
0xd286ba80 0x0000dce9 jbd
0xd2848e00 0x0000804d ehci_hcd
0xd2834880 0x00005add ohci_hcd
0xd282d100 0x0000634d uhci_hcd
