    PID   PPID    UID CPU    TASK    ST     VSZ    RSS COMM
      0      0      0   0  c0660bc0  RU      -1     -1 swapper
      1      0      0   0  d1957aa0  IN    2032    672 init
      2      1      0   0  d1957550  IN      -1     -1 migration/0
      3      1      0   0  d1957000  IN      -1     -1 ksoftirqd/0
      4      1      0   0  d195eaa0  IN      -1     -1 watchdog/0
      5      1      0   0  d195e550  IN      -1     -1 events/0
      6      1      0   0  d195e000  IN      -1     -1 khelper
      7      1      0   0  d1ad2aa0  IN      -1     -1 kthread
     10      7      0   0  d1aafaa0  IN      -1     -1 kblockd/0
     11      7      0   0  d1aaf550  IN      -1     -1 kacpid
     72      7      0   0  c13fb000  IN      -1     -1 cqueue/0
     75      7      0   0  d1970000  IN      -1     -1 khubd
     77      7      0   0  d1977550  IN      -1     -1 kseriod
    140      7      0   0  c13fbaa0  IN      -1     -1 pdflush
    141      7      0   0  d1a86000  IN      -1     -1 pdflush
    142      7      0   0  d19b1000  IN      -1     -1 kswapd0
    143      7      0   0  d19bcaa0  IN      -1     -1 aio/0
    294      7      0   0  d1417aa0  IN      -1     -1 kpsmoused
    324      7      0   0  d1a3d000  IN      -1     -1 scsi_eh_0
    325      7      0   0  d1404aa0  IN      -1     -1 kjournald
    353      7      0   0  d199b550  IN      -1     -1 kauditd
    387      1      0   0  d1993550  IN    2208    600 udevd
    702      7      0   0  d1aa0000  IN      -1     -1 kgameportd
   1224      7      0   0  d0e4baa0  IN      -1     -1 kmirrord
   1249      1      0   0  d09f7550  IN      -1     -1 vmhgfs
   1565      1      0   0  d19f9550  IN    2280    704 dhclient
   1637      1      0   0  d0b3c550  IN    1688    616 syslogd
   1640      1      0   0  d09f7aa0  IN    1644    404 klogd
   1705      1      0   0  d1993aa0  IN      -1     -1 vmmemctl
   1753      1      0   0  d0809000  IN    2268    856 vmware-guestd
   1791      1     81   0  d0b3e550  IN    2704    948 dbus-daemon
   1833      1      0   0  d0e04550  IN    9328   1108 automount
   1852      1      0   0  d1410550  IN    1636    528 acpid
   1872      1      0   0  d09f7000  IN    8564   1652 sendmail
   1880      1     51   0  d0bf1000  IN    7556   1436 sendmail
   1892      1      0   0  d0d1d550  IN    1864    464 gpm
   1903      1      0   0  d0bbeaa0  IN    5220   1104 crond
   1934      1     43   0  d0b3caa0  IN    3772   1692 xfs
   1945      1      0   0  d0b3e000  IN    2200    420 atd
   1961      1     68   0  d0b3c000  IN    5492   3680 hald
   1962   1961      0   0  d0809aa0  IN    3096   1080 hald-runner
   1968   1962     68   0  d19b1aa0  IN    1964    816 hald-addon-acpi
   1973   1962     68   0  d19b1550  IN    1964    812 hald-addon-keyb
   1985   1962      0   0  d19f9000  IN    1920    656 hald-addon-stor
   1999      1      0   0  d19f9aa0  IN    1628    464 mingetty
   2007      1      0   0  d1410000  IN    1624    464 mingetty
   2010      1      0   0  d0809550  IN    1624    460 mingetty
