dev      rt_src            rt_dst          fl4_src         fl4_dst   sec ago
---   -------------    -------------    -------------    -----------  --------
lo    192.168.151.2    192.168.151.130  192.168.151.2    192.168.151.130  183
eth0  192.168.151.130  219.93.175.67    0.0.0.0          219.93.175.67    183
lo    219.93.175.67    192.168.151.130  219.93.175.67    192.168.151.130  119
lo    86.64.162.35     192.168.151.130  86.64.162.35     192.168.151.130  399
eth0  192.168.151.130  219.93.175.67    192.168.151.130  219.93.175.67    119
lo    192.168.151.254  192.168.151.130  192.168.151.254  192.168.151.130  260
eth0  192.168.151.130  86.64.162.35     0.0.0.0          86.64.162.35     399
eth0  192.168.151.130  192.168.151.2    192.168.151.130  192.168.151.2    399
eth0  192.168.151.130  192.168.151.254  0.0.0.0          192.168.151.254  260
eth0  192.168.151.130  192.168.151.2    0.0.0.0          192.168.151.2    399
lo    127.0.0.1        127.0.0.1        0.0.0.0          127.0.0.1        400
