URL,First Visit,Last Visit,Count,,,,
file:///home/stevev/.recently-used.xbel,12/17/2007 12:57,12/17/2007 12:57,0,,,,266
http://corporate.disney.go.com/environmentality/index.html,12/17/2007 12:08,12/17/2007 12:08,0,,,The Walt Disney Company - Disney's Environmentality,265
http://corporate.disney.go.com/corporate/conduct_manufacturers.html,12/17/2007 12:06,12/17/2007 12:06,0,,,The Walt Disney Company - Code of Conduct for Manufacturers,264
http://corporate.disney.go.com/corporate/intl_labor_standards.html,12/17/2007 11:59,12/17/2007 11:59,0,,,The Walt Disney Company - International Labor Standards,263
http://corporate.disney.go.com/corporate/sitemap.html,12/17/2007 11:55,12/17/2007 11:55,0,,,The Walt Disney Company - Site Map,262
http://corporate.disney.go.com/news/corporate/2007/2007_1017_resortexpans\ion.html,12/17/2007 11:49,12/17/2007 11:49,0,,,"The Walt Disney Company and Affiliated Companies - Corporate Press Releases - October 17, 2007",261
http://corporate.disney.go.com/index.html,12/17/2007 11:46,12/17/2007 11:46,0,http://disney.go.com/corporate/,corporate.disney.go.com,The Walt Disney Company and Affiliated Companies - Corporate Information,260
http://disney.go.com/corporate/,12/17/2007 11:46,12/17/2007 11:46,0,,,,259
http://home.disney.go.com/travel/index,12/17/2007 11:46,12/17/2007 11:46,0,,home.disney.go.com,Disney.com | Travel | Home,257
http://transfer.go.com/cgi/transfer.dll?srvc=dis&goto=http://disney.go.co\m/corporate/&name=hp_html_qlinks_corpInfo,12/17/2007 11:46,12/17/2007 11:46,0,,transfer.go.com,,258
http://transfer.go.com/cgi/transfer.dll?srvc=dis&goto=http://home.disney.\go.com/travel/index&name=g_micChrome_cl_Travel,12/17/2007 11:46,12/17/2007 11:46,0,,transfer.go.com,,256
http://disney.go.com/,12/17/2007 11:45,12/17/2007 11:45,0,,disney.go.com,,253
http://disney.go.com/home/html/index.html?flash=false,12/17/2007 11:45,12/17/2007 11:45,0,http://disney.go.com/index,disney.go.com,Experience the magic with the latest Browser and Flash plug-in,255
http://disney.go.com/index,12/17/2007 11:45,12/17/2007 11:45,0,,disney.go.com,Disney.com | The Official Home Page For All Things Disney,254
http://pagead2.googlesyndication.com/pagead/ads?client=ca-pub-34465402047\08638&dt=1197863101267&lmt=1197863100&format=180x150_as&output=html&correlator\=1197863101267&url=http%3A%2F%2Fwww.kuro5hin.org%2Fsection%2Ftech&color_bg=EEE\EEE&color_text=333333&color_link=003767&color_url=003767&color_border=EEEEEE&a\d_type=text&ref=http%3A%2F%2Fwww.kuro5hin.org%2Fstory%2F2007%2F11%2F25%2F17421\%2F960&cc=100&ga_vid=1495205446.1197863101&ga_sid=1197863101&ga_hid=1686686360\&flash=0&u_h=1004&u_w=1900&u_ah=954&u_aw=1900&u_cd=24&u_tz=-300&u_his=6&u_java\=true,12/17/2007 11:45,12/17/2007 11:45,0,http://www.kuro5hin.org/section/tech,pagead2.googlesyndication.com,,251
http://www.disney.com/,12/17/2007 11:45,12/17/2007 11:45,2,,disney.com,,252
http://www.kuro5hin.org/section/tech,12/17/2007 11:45,12/17/2007 11:45,0,http://www.kuro5hin.org/story/2007/11/25/17421/960,kuro5hin.org,kuro5hin.org || Technology,250
http://pagead2.googlesyndication.com/pagead/ads?client=ca-pub-34465402047\08638&dt=1197863019371&lmt=1197863018&format=180x150_as&output=html&correlator\=1197863019369&url=http%3A%2F%2Fwww.kuro5hin.org%2F&color_bg=EEEEEE&color_text\=333333&color_link=003767&color_url=003767&color_border=EEEEEE&ad_type=text&cc\=100&ga_vid=1581769579.1197863019&ga_sid=1197863019&ga_hid=434763021&flash=0&u\_h=1004&u_w=1900&u_ah=954&u_aw=1900&u_cd=24&u_tz=-300&u_his=4&u_java=true,12/17/2007 11:43,12/17/2007 11:43,0,http://www.kuro5hin.org/,pagead2.googlesyndication.com,,247
http://pagead2.googlesyndication.com/pagead/ads?client=ca-pub-34465402047\08638&dt=1197863031848&lmt=1197863031&format=120x600_as&output=html&correlator\=1197863031848&url=http%3A%2F%2Fwww.kuro5hin.org%2Fstory%2F2007%2F11%2F25%2F17\421%2F960&color_bg=EEEEEE&color_text=333333&color_link=003767&color_url=003767\&color_border=EEEEEE&ref=http%3A%2F%2Fwww.kuro5hin.org%2F&cc=100&ga_vid=304070\027.1197863032&ga_sid=1197863032&ga_hid=641757188&flash=0&u_h=1004&u_w=1900&u_\ah=954&u_aw=1900&u_cd=24&u_tz=-300&u_his=5&u_java=true,12/17/2007 11:43,12/17/2007 11:43,0,http://www.kuro5hin.org/story/2007/11/25/17421/960,pagead2.googlesyndication.com,,249
http://www.kuro5hin.org/,12/17/2007 11:43,12/17/2007 11:43,2,,kuro5hin.org,"kuro5hin.org || technology and culture, from the trenches",246
http://www.kuro5hin.org/story/2007/11/25/17421/960,12/17/2007 11:43,12/17/2007 11:43,0,http://www.kuro5hin.org/,kuro5hin.org,A Financial Perspective on DRM || kuro5hin.org,248
http://www.bankrate.com/brm/rate/brm_ccsearch_advanced.asp?product=82&ec_\id=brmint_brm_small_new_cc_all,12/17/2007 11:42,12/17/2007 11:42,0,http://www.bankrate.com/brm/news/cc/20010416b.asp,bankrate.com,Credit Cards and Credit Card Rates in the United States-- Free search for the best credit card rates,245
http://ad.doubleclick.net/adi/N2886.Bankratenc/B2534773.6;sz=250x250;ord=\653493509101775877?,12/17/2007 11:41,12/17/2007 11:41,0,http://www.bankrate.com/brm/news/cc/20010416b.asp,ad.doubleclick.net,Click Here!,243
http://www.bankrate.com/brm/inc/ib/creditcards.asp,12/17/2007 11:41,12/17/2007 11:41,0,http://www.bankrate.com/brm/news/cc/20010416b.asp,bankrate.com,,244
http://www.bankrate.com/brm/news/cc/20010416b.asp,12/17/2007 11:41,12/17/2007 11:41,0,http://www.google.com/search?q=overseas+credit+card+payments&start=0&ie=u\tf-8&oe=utf-8&client=firefox-a&rls=org.mozilla:en-US:official,bankrate.com,Fees on overseas credit card transactions,242
http://www.google.com/search?q=overseas+credit+card+payments&start=0&ie=u\tf-8&oe=utf-8&client=firefox-a&rls=org.mozilla:en-US:official,12/17/2007 11:41,12/17/2007 11:41,0,,google.com,overseas credit card payments - Google Search,240
http://www.google.com/url?sa=t&ct=res&cd=1&url=http%3A%2F%2Fwww.bankrate.\com%2Fbrm%2Fnews%2Fcc%2F20010416b.asp&ei=F_BlR_fQA4OkeeSusEw&usg=AFQjCNHloCeqf\sobNwavLEX9PoJpWu3z2A&sig2=yRPwKoIU0x_l6SZYggaNHA,12/17/2007 11:41,12/17/2007 11:41,0,http://www.google.com/search?q=overseas+credit+card+payments&start=0&ie=u\tf-8&oe=utf-8&client=firefox-a&rls=org.mozilla:en-US:official,google.com,,241
http://mail.google.com/mail/#inbox,12/8/2007 16:46,12/17/2007 11:36,4,,mail.google.com,Gmail - Inbox - steve.vogon@gmail.com,50
http://mail.google.com/mail/?ui=2&ik=d5424cfd94&view=tl&start=0&num=70&rt\=h&search=inbox,12/8/2007 16:49,12/17/2007 11:36,3,http://mail.google.com/mail/,mail.google.com,,53
http://mail.google.com/mail/#sent,12/17/2007 11:36,12/17/2007 11:36,0,,mail.google.com,Gmail - Sent Mail - steve.vogon@gmail.com,239
http://mail.google.com/mail/?ui=2&ik=d5424cfd94&at=tfpl75xkoz07h3atsmkzip\rgd0ckhr&view=up&act=sm&jsid=di3dha-fu8ct0&cmid=1&rt=h&zx=6p8o02-b033or,12/17/2007 11:36,12/17/2007 11:36,0,http://mail.google.com/mail/,mail.google.com,,237
http://mail.google.com/mail/?ui=2&ik=d5424cfd94&view=tl&start=0&num=70&rt\=h&search=sent,12/17/2007 11:36,12/17/2007 11:36,0,http://mail.google.com/mail/,mail.google.com,,238
http://mail.google.com/mail/,12/8/2007 16:46,12/17/2007 11:34,2,http://mail.google.com/mail/help/intro.html,mail.google.com,Loading... Gmail,46
http://mail.google.com/mail/#,12/8/2007 16:46,12/17/2007 11:34,2,,mail.google.com,Gmail,48
http://mail.google.com/mail/#compose,12/8/2007 16:46,12/17/2007 11:34,2,,mail.google.com,Gmail - Compose Mail - steve.vogon@gmail.com,51
http://mail.google.com/mail/?ui=2&ik=d5424cfd94&view=tl&start=0&num=70&in\it=1&rt=h&search=inbox,12/8/2007 16:46,12/17/2007 11:34,5,http://mail.google.com/mail/,mail.google.com,,49
http://mail.google.com/mail/?ui=2&view=bsp&ver=ymdfwq781tpu,12/8/2007 16:46,12/17/2007 11:34,10,http://mail.google.com/mail/,mail.google.com,,47
http://www.noblebank.pl/noble/index.jsp?place=Menu01&news_cat_id=84&layou\t=5,12/9/2007 13:54,12/17/2007 11:34,3,http://www.noblebank.pl/noble/index.jsp?place=Menu03&news_cat_id=189&layo\ut=5,noblebank.pl,Noble Bank - KONTAKT,102
http://gmail.com/,12/17/2007 11:34,12/17/2007 11:34,2,,gmail.com,,236
http://travel.travelocity.com/hotel/TTDateLessDetail.do?Service=TRAVELOCI\TY&propertyId=7977&WA1=03040&WA2=StoresCARIB&WA3=fd2&WA4=radisson&WA5=IM#dinin\g,12/17/2007 11:34,12/17/2007 11:34,0,,travel.travelocity.com,,233
http://www.noblebank.pl/noble/index.jsp?place=Menu02&news_cat_id=223&layo\ut=1,12/17/2007 11:34,12/17/2007 11:34,0,http://www.noblebank.pl/noble/index.jsp?place=Menu01&news_cat_id=84&layou\t=5,noblebank.pl,Noble Bank - ENGLISH SUMMARY,234
http://www.noblebank.pl/noble/index.jsp?place=Menu06&news_cat_id=227&layo\ut=8,12/17/2007 11:34,12/17/2007 11:34,0,http://www.noblebank.pl/noble/index.jsp?place=Menu02&news_cat_id=223&layo\ut=1,noblebank.pl,Noble Bank - Contact,235
http://dm.travelocity.com/html.ng/site=travelocity&cobrand=TRAVELOCITY&ar\ea=homepage&adsize=125x125&pagepos=1,12/9/2007 15:47,12/17/2007 11:32,2,http://travelocity.com/,dm.travelocity.com,,177
http://dm.travelocity.com/html.ng/site=travelocity&cobrand=TRAVELOCITY&ar\ea=homepage&adsize=125x125&pagepos=2,12/9/2007 15:47,12/17/2007 11:32,2,http://travelocity.com/,dm.travelocity.com,,179
http://travelocity.com/,12/9/2007 15:47,12/17/2007 11:32,3,,travelocity.com,"Travel: Airfares, hotels, vacations, cruises, car rentals and more at Travelocity.com",175
"http://travelocity.com/checkflash/1,5274,,00.html",12/9/2007 15:47,12/17/2007 11:32,2,http://travelocity.com/,travelocity.com,flash detection,176
http://dm.travelocity.com/html.ng/adsize=160x600&site=travelocity&cobrand\=TRAVELOCITY&area=package&orig=&dest=&air_seg=1&car_seg=0&hot_seg=1&cruiseseg=\0&random=1197862371470,12/17/2007 11:32,12/17/2007 11:32,0,http://travel.travelocity.com/hotel/TTDateLessDetail.do?Service=TRAVELOCI\TY&propertyId=7977&WA1=03040&WA2=StoresCARIB&WA3=fd2&WA4=radisson&WA5=IM,dm.travelocity.com,,231
http://dm.travelocity.com/html.ng/adsize=468x60&site=travelocity&cobrand=\TRAVELOCITY&area=package&orig=&dest=&air_seg=1&car_seg=0&hot_seg=1&cruiseseg=0\&random=1197862371452,12/17/2007 11:32,12/17/2007 11:32,0,http://travel.travelocity.com/hotel/TTDateLessDetail.do?Service=TRAVELOCI\TY&propertyId=7977&WA1=03040&WA2=StoresCARIB&WA3=fd2&WA4=radisson&WA5=IM,dm.travelocity.com,,230
